file,region,row_type,expected,stt,corrected,n_expected,n_stt,fixed,outcome,mozhi_edits,category_suggested,phonetic_score,category_reviewed
vol10_uri,3,stt_error,That,The,The,1,1,no,missed,,out_of_scope,0.850,
vol10_uri,4,stt_error,forever,4 hours,4 hours,1,2,no,missed,,non_phonetic_substitution,0.528,
vol10_uri,5,stt_error,our,a,a,1,1,no,missed,,non_phonetic_substitution,0.000,
vol10_uri,6,stt_error,manager's,manager is,manager is,1,2,no,missed,,non_phonetic_substitution,0.000,
vol10_uri,7,stt_error,credential,credentials,credentials,1,1,no,missed,fuzzy: 'credentials' -> 'credentials',phonetic_substitution,0.971,
vol10_uri,8,stt_error,deployment,development,development,1,1,no,missed,,phonetic_substitution,0.907,
vol10_uri,9,stt_error,scanner,scan of,scan of,1,2,no,missed,,non_phonetic_substitution,0.000,
vol10_uri,10,stt_error,an,and,and,1,1,no,missed,,out_of_scope,0.911,
vol10_uri,11,stt_error,URI CPU POP3 JSON CD SATA CVE,,,7,0,no,missed,,omission,,
vol11_sql,1,stt_error,expired mid session,explained musician,explained musician,3,2,no,missed,,out_of_scope,0.921,
vol11_sql,2,stt_error,upload,approach,approach,1,1,no,missed,,non_phonetic_substitution,0.500,
vol11_sql,3,stt_error,failed,filmed,filmed,1,1,no,missed,,out_of_scope,0.933,
vol11_sql,4,stt_error,flagging that,striking the,striking the,2,2,no,missed,,non_phonetic_substitution,0.617,
vol11_sql,5,stt_error,positive,password,password,1,1,no,missed,,non_phonetic_substitution,0.633,
vol11_sql,6,stt_error,bundled,mundled,mundled,1,1,no,missed,,out_of_scope,0.867,
vol11_sql,7,stt_error,jumped,jump to,jump to,1,2,no,missed,,out_of_scope,0.953,
vol11_sql,8,stt_error,tied to,tired,tired,2,1,no,missed,,non_phonetic_substitution,0.750,
vol11_sql,9,stt_error,a,,,1,0,no,missed,,omission,,
vol11_sql,10,stt_error,rep,trip,trip,1,1,no,missed,,non_phonetic_substitution,0.000,
vol11_sql,11,stt_error,caching,catching,catching,1,1,no,missed,,out_of_scope,1.000,
vol11_sql,12,stt_error,it,this,this,1,1,no,missed,,non_phonetic_substitution,0.000,
vol11_sql,13,stt_error,ticket says the,tickets say,ticket say,3,2,no,changed_wrong,fuzzy: 'tickets' -> 'ticket',non_phonetic_substitution,0.750,
vol11_sql,14,stt_error,isn't,is,is,1,1,no,missed,,out_of_scope,0.867,
vol11_sql,15,stt_error,on,,,1,0,no,missed,,omission,,
vol11_sql,16,stt_error,laptops The report generator times out whenever the date range is too wide SQL HTTP RAID JSON SNMP SLA CPU,laptop,laptop,20,1,no,missed,,non_phonetic_substitution,0.602,
vol12_dns,1,stt_error,proxy,proxies,proxies,1,1,no,missed,,phonetic_substitution,0.960,
vol12_dns,2,stt_error,depends,depend,depend,1,1,no,missed,,out_of_scope,0.960,
vol12_dns,3,stt_error,hire's badge access,highest batch axis,highest batch axis,3,3,no,missed,,phonetic_substitution,0.902,
vol12_dns,4,stt_error,hire,higher,higher,1,1,no,missed,,non_phonetic_substitution,0.583,
vol12_dns,5,stt_error,doesn't,does not,does not,1,2,no,missed,,non_phonetic_substitution,0.633,
vol12_dns,6,stt_error,drive,dive,dive,1,1,no,missed,,non_phonetic_substitution,0.611,
vol12_dns,7,stt_error,we're,we are,we are,1,2,no,missed,,non_phonetic_substitution,0.583,
vol12_dns,8,stt_error,,on,on,0,1,no,missed,,insertion,,
vol12_dns,9,stt_error,rate,rare,rare,1,1,no,missed,,non_phonetic_substitution,0.667,
vol12_dns,10,stt_error,service,surface,surface,1,1,no,missed,,phonetic_substitution,1.000,
vol12_dns,11,stt_error,containerized,containerist,container,1,1,no,changed_wrong,fuzzy: 'containerist' -> 'container',out_of_scope,1.000,
vol12_dns,12,stt_error,references,reference,reference,1,1,no,missed,,out_of_scope,0.967,
vol12_dns,13,stt_error,read,rear,rear,1,1,no,missed,,non_phonetic_substitution,0.667,
vol12_dns,14,stt_error,fell,failed,failed,1,1,no,missed,,out_of_scope,0.911,
vol12_dns,15,stt_error,schema change,scheme much changed,scheme much changed,2,3,no,missed,,phonetic_substitution,0.831,
vol12_dns,16,stt_error,team blocked our,came block cover,came block cover,3,3,no,missed,,out_of_scope,0.860,
vol12_dns,17,stt_error,requests,request,request,1,1,no,missed,,out_of_scope,0.960,
vol12_dns,18,stt_error,to,into,into,1,1,no,missed,,non_phonetic_substitution,0.000,
vol12_dns,19,stt_error,branch office,mophis,mophis,2,1,no,missed,,non_phonetic_substitution,0.000,
vol12_dns,20,stt_error,Someone needs to double check the retention policy before we delete anything DNS SSH DMZ ORM CI BIOS VPN,,,19,0,no,missed,,omission,,
vol13_dhcp,1,stt_error,ticket,he kept,he kept,1,2,no,missed,,non_phonetic_substitution,0.511,
vol13_dhcp,2,stt_error,that firmware,the film,the film,2,2,no,missed,,non_phonetic_substitution,0.790,
vol13_dhcp,3,stt_error,load balancer,deployment paper,deployment paper,2,2,no,missed,,non_phonetic_substitution,0.550,
vol13_dhcp,4,stt_error,sending too much traffic,struck,struck,4,1,no,missed,,non_phonetic_substitution,0.650,
vol13_dhcp,5,stt_error,the second node The deployment pipeline is stuck,,,8,0,no,missed,,omission,,
vol13_dhcp,6,stt_error,a,,,1,0,no,missed,,omission,,
vol13_dhcp,7,stt_error,approval step,approach trip,approach trip,2,2,no,missed,,out_of_scope,0.864,
vol13_dhcp,8,stt_error,pushed over,puts,puts,2,1,no,missed,,non_phonetic_substitution,0.000,
vol13_dhcp,9,stt_error,fix we've had,week we have done,week we have done,3,4,no,missed,,non_phonetic_substitution,0.700,
vol13_dhcp,10,stt_error,That,The,The,1,1,no,missed,,out_of_scope,0.850,
vol13_dhcp,11,stt_error,Can we get someone from networking on this call it's their subnet The client's firewall is dropping our health check pings intermittently,,,22,0,no,missed,,omission,,
vol13_dhcp,12,stt_error,SAML,SCIML,SCIML,1,1,no,missed,,out_of_scope,0.925,
vol14_uefi,1,stt_error,OS,voice,voice,1,1,no,missed,,non_phonetic_substitution,0.667,
vol14_uefi,2,stt_error,debug logging,teabuck vlogging it,teabuck vlogging it,2,3,no,missed,,out_of_scope,0.889,
vol14_uefi,3,stt_error,prod,one part,one part,1,2,no,missed,,non_phonetic_substitution,0.000,
vol14_uefi,4,stt_error,new,news,news,1,1,no,missed,,out_of_scope,0.850,
vol14_uefi,5,stt_error,shown,stored,stored,1,1,no,missed,,non_phonetic_substitution,0.000,
vol14_uefi,6,stt_error,why the,my,my,2,1,no,missed,,non_phonetic_substitution,0.000,
vol14_uefi,7,stt_error,keeps quarantining that,kits co entering the,kits co entering the,3,4,no,missed,,non_phonetic_substitution,0.735,
vol14_uefi,8,stt_error,was,is,is,1,1,no,missed,,non_phonetic_substitution,0.667,
vol14_uefi,9,stt_error,credential stuffing,confidential suffering,confidential suffering,2,2,no,missed,,phonetic_substitution,0.851,
vol14_uefi,10,stt_error,The support queue jumped overnight must be tied to that outage The escalation should have gone to tier two not the front desk,,,23,0,no,missed,,omission,,
vol15_vm,1,stt_error,that,the,the,1,1,no,missed,,out_of_scope,0.850,
vol15_vm,2,stt_error,That,The,The,1,1,no,missed,,out_of_scope,0.850,
vol15_vm,3,stt_error,unindexed,un indexed,un indexed,1,2,no,missed,,non_phonetic_substitution,0.757,
vol15_vm,4,stt_error,,the,the,0,1,no,missed,,insertion,,
vol15_vm,5,stt_error,Can,When,When,1,1,no,missed,,non_phonetic_substitution,0.667,
vol15_vm,6,stt_error,subnet mask,submit mask,subnet mask,2,2,yes,fixed,fuzzy: 'submit mask' -> 'subnet mask',phonetic_substitution,0.950,
vol15_vm,7,stt_error,that,the,the,1,1,no,missed,,out_of_scope,0.850,
vol15_vm,8,stt_error,stale,still,still,1,1,no,missed,,out_of_scope,1.000,
vol15_vm,9,stt_error,audit trail,audio trial,audio trial,2,2,no,missed,,out_of_scope,0.917,
vol15_vm,10,stt_error,someone deleted,someone's rate at,someone's rate at,2,3,no,missed,,non_phonetic_substitution,0.447,
vol15_vm,11,stt_error,Our,However,However,1,1,no,missed,,non_phonetic_substitution,0.000,
vol15_vm,12,stt_error,,down,down,0,1,no,missed,,insertion,,
vol15_vm,13,stt_error,promised,promise,promise,1,1,no,missed,,out_of_scope,0.960,
vol15_vm,14,stt_error,that subnet VM VLAN IMAP STP NAT POP3 RAM,the sub set,the sub set,9,3,no,missed,,non_phonetic_substitution,0.483,
vol16_san,1,stt_error,outage,update,update,1,1,no,missed,,non_phonetic_substitution,0.528,
vol16_san,2,stt_error,the,that,that,1,1,no,missed,,out_of_scope,0.850,
vol16_san,3,stt_error,We're still,We are really,We are really,2,3,no,missed,,non_phonetic_substitution,0.579,
vol16_san,4,stt_error,odd,all,all,1,1,no,missed,,non_phonetic_substitution,0.000,
vol16_san,5,stt_error,actually looked at it,can actually look left,can actually look left,4,4,no,missed,,out_of_scope,0.846,
vol16_san,6,stt_error,webhook,web port,web port,1,2,no,missed,,non_phonetic_substitution,0.000,
vol16_san,7,stt_error,are,,,1,0,no,missed,,omission,,
vol16_san,8,stt_error,if,on,on,1,1,no,missed,,non_phonetic_substitution,0.000,
vol16_san,9,stt_error,Someone needs to review the access logs from that suspicious login,,,11,0,no,missed,,omission,,
vol16_san,10,stt_error,IOPS,IOPTS,IOPTS,1,1,no,missed,,out_of_scope,0.933,
vol16_san,11,stt_error,WAN,VAN,VAN,1,1,no,missed,,non_phonetic_substitution,0.667,
vol17_cd,1,stt_error,half,off,off,1,1,no,missed,,non_phonetic_substitution,0.000,
vol17_cd,2,stt_error,The,We,We,1,1,no,missed,,non_phonetic_substitution,0.000,
vol17_cd,3,stt_error,We're,We are,We are,1,2,no,missed,,non_phonetic_substitution,0.583,
vol17_cd,4,stt_error,the,,,1,0,no,missed,,omission,,
vol17_cd,5,stt_error,rolled back,roll back,roll backup,2,2,no,changed_wrong,fuzzy: 'back' -> 'backup',out_of_scope,0.967,
vol17_cd,6,stt_error,read,to read,to RAID,1,2,no,changed_wrong,fuzzy: 'read' -> 'RAID',out_of_scope,0.867,
vol17_cd,7,stt_error,that,the,the,1,1,no,missed,,out_of_scope,0.850,
vol17_cd,8,stt_error,caching stale,catching style,catching style,2,2,no,missed,,out_of_scope,1.000,
vol17_cd,9,stt_error,cleared it,clear this,clear this,2,2,no,missed,,non_phonetic_substitution,0.746,
vol17_cd,10,stt_error,config,conflict,conflict,1,1,no,missed,,out_of_scope,0.922,
vol17_cd,11,stt_error,,getting,getting,0,1,no,missed,,insertion,,
vol17_cd,12,stt_error,The vendor's API changed the response format without any warning Can you check whether the load test numbers actually match production traffic,,,22,0,no,missed,,omission,,
vol17_cd,13,stt_error,SSO PAT,SSOP PET,SSO PET,2,2,no,changed_wrong,fuzzy: 'SSOP' -> 'SSO',phonetic_substitution,0.960,
vol18_yaml,1,stt_error,fifteen,15,15,1,1,no,missed,,non_phonetic_substitution,0.000,
vol18_yaml,2,stt_error,that,the,the,1,1,no,missed,,out_of_scope,0.850,
vol18_yaml,3,stt_error,test,text,text,1,1,no,missed,,phonetic_substitution,0.925,
vol18_yaml,4,stt_error,old,world,world,1,1,no,missed,,non_phonetic_substitution,0.722,
vol18_yaml,5,stt_error,retired,retailed,retailed,1,1,no,missed,,out_of_scope,0.867,
vol18_yaml,6,stt_error,step,setup,setup,1,1,no,missed,,out_of_scope,1.000,
vol18_yaml,7,stt_error,everyone's,Everyone is,Everyone is,1,2,no,missed,,out_of_scope,0.950,
vol18_yaml,8,stt_error,locked,logged,logged,1,1,no,missed,,non_phonetic_substitution,0.800,
vol18_yaml,9,stt_error,ticket says the printer driver isn't installing on the new laptops The old,World,World,13,1,no,missed,,non_phonetic_substitution,0.346,
vol18_yaml,10,stt_error,cooling,loading,loading,1,1,no,missed,,out_of_scope,0.833,
vol18_yaml,11,stt_error,We're,We are,We are,1,2,no,missed,,non_phonetic_substitution,0.583,
vol18_yaml,12,stt_error,,our,our,0,1,no,missed,,insertion,,
vol18_yaml,13,stt_error,provider's Can,providers When,providers When,2,2,no,missed,,non_phonetic_substitution,0.778,
vol18_yaml,14,stt_error,confirm,comes for,comes for,1,2,no,missed,,non_phonetic_substitution,0.700,
vol18_yaml,15,stt_error,We're,we are,we are,1,2,no,missed,,non_phonetic_substitution,0.583,
vol18_yaml,16,stt_error,caching,catching,catching,1,1,no,missed,,out_of_scope,1.000,
vol18_yaml,17,stt_error,help desk,helpback,helpback,2,1,no,missed,,phonetic_substitution,0.853,
vol18_yaml,18,stt_error,YAML URI URL HSTS CSV SATA JWT,,,7,0,no,missed,,omission,,
vol19_ddos,1,stt_error,archive,achieve,achieve,1,1,no,missed,,out_of_scope,0.925,
vol19_ddos,2,stt_error,fills,fails,fails,1,1,no,missed,,out_of_scope,1.000,
vol19_ddos,3,stt_error,contractor's,contractors,contractors,1,1,no,missed,,out_of_scope,1.000,
vol19_ddos,4,stt_error,that,the,the,1,1,no,missed,,out_of_scope,0.850,
vol19_ddos,5,stt_error,billing,building,building,1,1,no,missed,,out_of_scope,0.947,
vol19_ddos,6,regression,catch,catch,cache,1,1,no,regression,fuzzy: 'catch' -> 'cache',,,
vol19_ddos,7,stt_error,That,The,The,1,1,no,missed,,out_of_scope,0.850,
vol19_ddos,8,stt_error,for now,around,around,2,1,no,missed,,non_phonetic_substitution,0.667,
vol19_ddos,9,stt_error,The onboarding script fails silently if the username has a space in it DDoS SDK API HTTPS LDAP LAN NoSQL,,,20,0,no,missed,,omission,,
vol20_sftp,1,stt_error,QA,Qt,Qt,1,1,no,missed,,out_of_scope,0.850,
vol20_sftp,2,stt_error,restored fine,restored file,restore file,2,2,no,changed_wrong,fuzzy: 'restored' -> 'restore',out_of_scope,0.925,
vol20_sftp,3,stt_error,indexes need,index needs,index needs,2,2,no,missed,,out_of_scope,0.956,
vol20_sftp,4,stt_error,That,The,The,1,1,no,missed,,out_of_scope,0.850,
vol20_sftp,5,stt_error,forever,over for our,over for our,1,3,no,missed,,out_of_scope,0.852,
vol20_sftp,6,stt_error,the,an,an,1,1,no,missed,,non_phonetic_substitution,0.000,
vol20_sftp,7,stt_error,,to,to,0,1,no,missed,,insertion,,
vol20_sftp,8,stt_error,cron,con,con,1,1,no,missed,,non_phonetic_substitution,0.611,
vol20_sftp,9,stt_error,supposed,supported,supported,1,1,no,missed,,out_of_scope,0.827,
vol20_sftp,10,stt_error,Someone,One,One,1,1,no,missed,,non_phonetic_substitution,0.000,
vol20_sftp,11,stt_error,deleted,dated,dated,1,1,no,missed,,out_of_scope,0.925,
vol20_sftp,12,stt_error,staging,stagging,stagging,1,1,no,missed,,out_of_scope,1.000,
vol20_sftp,13,stt_error,doesn't,does not,does not,1,2,no,missed,,non_phonetic_substitution,0.633,
vol20_sftp,14,stt_error,production We're,protection We are,protection We are,2,3,no,missed,,non_phonetic_substitution,0.791,
vol20_sftp,15,stt_error,orphaned,orphan,orphan,1,1,no,missed,,out_of_scope,0.960,
vol20_sftp,16,stt_error,The report generator times out whenever the date range is too wide The client wants a status update before the change window closes SFTP QA NAS CVE SMTP SIEM SOAP,,,30,0,no,missed,,omission,,
vol21_ids,1,stt_error,an,and,and,1,1,no,missed,,out_of_scope,0.911,
vol21_ids,2,stt_error,rollback,road back,RAID backup,1,2,no,changed_wrong,fuzzy: 'road' -> 'RAID'; fuzzy: 'back' -> 'backup',non_phonetic_substitution,0.000,
vol21_ids,3,stt_error,We're,We are,We are,1,2,no,missed,,non_phonetic_substitution,0.583,
vol21_ids,4,stt_error,,any we are not seeing,any we are not seeing,0,5,no,missed,,insertion,,
vol21_ids,5,stt_error,staging,stacking,stacking,1,1,no,missed,,out_of_scope,0.893,
vol21_ids,6,stt_error,,The,The,0,1,no,missed,,insertion,,
vol21_ids,7,stt_error,said they'd follow up,said they would follow,SSID they would follow,4,4,no,changed_wrong,fuzzy: 'said' -> 'SSID',out_of_scope,0.836,
vol21_ids,8,stt_error,the,a,a,1,1,no,missed,,non_phonetic_substitution,0.000,
vol21_ids,9,stt_error,breach,branch,branch,1,1,no,missed,,out_of_scope,0.933,
vol21_ids,10,stt_error,,the,the,0,1,no,missed,,insertion,,
vol21_ids,11,stt_error,,the,the,0,1,no,missed,,insertion,,
vol21_ids,12,stt_error,filters reset,filter resets,filter resets,2,2,no,missed,,out_of_scope,0.956,
vol21_ids,13,stt_error,in,on,on,1,1,no,missed,,non_phonetic_substitution,0.667,
vol21_ids,14,stt_error,,of,of,0,1,no,missed,,insertion,,
vol21_ids,15,stt_error,that node,the road,the RAID,2,2,no,changed_wrong,fuzzy: 'road' -> 'RAID',out_of_scope,0.805,
vol21_ids,16,stt_error,credentials,decrement should,decrement should,1,2,no,missed,,non_phonetic_substitution,0.763,
vol21_ids,17,stt_error,month,move,move,1,1,no,missed,,non_phonetic_substitution,0.611,
vol21_ids,18,stt_error,WAN,van,van,1,1,no,missed,,non_phonetic_substitution,0.667,
vol21_ids,19,stt_error,,entire,entire,0,1,no,missed,,insertion,,
vol21_ids,20,stt_error,office,of this,of this,1,2,no,missed,,non_phonetic_substitution,0.511,
vol21_ids,21,stt_error,afternoon,after home,after home,1,2,no,missed,,out_of_scope,0.848,
vol21_ids,22,stt_error,script,planes,planes,1,1,no,missed,,non_phonetic_substitution,0.000,
vol21_ids,23,stt_error,a,the,the,1,1,no,missed,,non_phonetic_substitution,0.000,
vol21_ids,24,stt_error,raise,place,place,1,1,no,missed,,non_phonetic_substitution,0.000,
vol21_ids,25,stt_error,in,on,on,1,1,no,missed,,non_phonetic_substitution,0.667,
vol21_ids,26,stt_error,standup,contact,contact,1,1,no,missed,,non_phonetic_substitution,0.622,
vol21_ids,27,stt_error,invite didn't sync to,invites itself with the,invites itself with the,4,4,no,missed,,non_phonetic_substitution,0.647,
vol21_ids,28,stt_error,,of,of,0,1,no,missed,,insertion,,
vol21_ids,29,stt_error,IDS GPU NoSQL SSL CVE ORM RAM,,,7,0,no,missed,,omission,,
vol22_sql,1,stt_error,and locked,unloved on,unloved on,2,2,no,missed,,non_phonetic_substitution,0.690,
vol22_sql,2,stt_error,two factor,the capacitor,the capacitor,2,2,no,missed,,non_phonetic_substitution,0.524,
vol22_sql,3,stt_error,finance team,financity,financity,2,1,no,missed,,out_of_scope,0.943,
vol22_sql,4,stt_error,config,configuration,configuration item,1,1,no,changed_wrong,fuzzy: 'configuration' -> 'configuration item',out_of_scope,0.914,
vol22_sql,5,stt_error,,and,and,0,1,no,missed,,insertion,,
vol22_sql,6,stt_error,payload gets,payloads get,payloads get,2,2,no,missed,,out_of_scope,0.924,
vol22_sql,7,stt_error,,we need to add payload management,we need to add payload management,0,6,no,missed,,insertion,,
vol22_sql,8,stt_error,,manager,manager,0,1,no,missed,,insertion,,
vol22_sql,9,stt_error,in,,,1,0,no,missed,,omission,,
